pos,name,country,venue,year,result,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500
1,MUIR Laura,GBR,brussels dl,2018,3:58.49,15.4,31.5,47.2,1:03.0,1:18.9,1:34.8,1:51.1,2:07.5,2:24.3,2:41.4,2:57.7,3:13.3,3:28.4,3:43.4,3:58.49
2,HOULIHAN Shelby,USA,brussels dl,2018,3:58.94,15.7,32,48.1,1:04.5,1:20.4,1:36.9,1:53.1,2:09.3,2:25.7,2:42.2,2:58.3,3:13.8,3:29.0,3:43.9,3:58.94
3,HASSAN Sifan,NED,brussels dl,2018,3:59.41,15.8,31.3,46.9,1:02.7,1:18.5,1:34.6,1:50.9,2:07.2,2:24.1,2:41.2,2:58.0,3:13.5,3:28.7,3:44.1,3:59.41
4,TSEGAY Gudaf,ETH,brussels dl,2018,3:59.68,14.9,30.1,45.8,1:01.6,1:17.5,1:33.7,1:50.2,2:06.9,2:23.8,2:41.2,2:58.2,3:13.7,3:28.9,3:44.3,3:59.68
5,EMBAYE Axumawit,ETH,brussels dl,2018,4:02.75,15.8,32.4,47.9,1:04.2,1:20.2,1:36.7,1:52.9,2:09.8,2:26.2,2:43.2,2:59.6,3:15.4,3:30.9,3:46.7,4:02.75
7,ENNAOUI Sofia,POL,brussels dl,2018,4:03.49,15.6,31.8,47.8,1:04.0,1:20.4,1:37.2,1:53.6,2:10.3,2:27.1,2:43.9,3:00.1,3:16.4,3:32.3,3:48.4,4:03.49
8,ARAFI Rababe,MAR,brussels dl,2018,4:03.82,15.8,32.2,48.3,1:04.5,1:20.6,1:37.1,1:53.4,2:10.0,2:26.5,2:43.4,2:59.9,3:16.3,3:32.0,3:48.0,4:03.82
9,WEIGHTMAN Laura,GBR,brussels dl,2018,4:04.36,16.1,32.5,48.5,1:05.0,1:20.9,1:37.6,1:53.9,2:10.2,2:26.9,2:43.5,3:00.2,3:16.6,3:32.6,3:48.7,4:04.36
10,SIMPSON Jenny,USA,brussels dl,2018,4:04.57,15.7,31.9,48.1,1:04.7,1:20.4,1:37.0,1:53.4,2:10.0,2:26.4,2:43.3,2:59.8,3:16.1,3:32.6,3:49.0,4:04.57
11,VANDERELST Elise,BEL,brussels dl,2018,4:05.75,15.8,32,48.2,1:05.1,1:21.2,1:37.7,1:54.1,2:10.6,2:27.3,2:44.1,3:00.8,3:16.9,3:33.1,3:49.4,4:05.75
1,TSEGAY Gudaf,ETH,stockholm dl,2018,3:57.64,15.2,30,45.1,1:00.7,1:16.8,1:33.1,1:49.0,2:05.4,2:21.9,2:38.3,2:54.2,3:09.9,3:25.9,3:41.9,3:57.64
2,MUIR Laura,GBR,stockholm dl,2018,3:58.53,15.5,31.1,46.5,1:02.7,1:19.3,1:35.8,1:52.2,2:08.7,2:25.0,2:41.4,2:56.8,3:12.2,3:27.9,3:43.2,3:58.53
3,ARAFI Rababe,MAR,stockholm dl,2018,4:00.28,15.5,30.8,46.1,1:02.0,1:18.5,1:35.4,1:51.9,2:08.6,2:25.2,2:41.6,2:57.6,3:13.4,3:29.6,3:45.1,4:00.28
4,SIMPSON Jenny,USA,stockholm dl,2018,4:00.34,15.7,31.3,46.8,1:03.3,1:19.9,1:36.1,1:52.4,2:09.0,2:25.6,2:42.1,2:58.0,3:13.7,3:29.5,3:44.9,4:00.34
5,JEPKOSGEI Nelly,KEN,stockholm dl,2018,4:01.95,15.4,30.6,45.5,1:01.1,1:17.3,1:33.4,1:49.3,2:05.6,2:22.2,2:38.7,2:54.9,3:11.5,3:28.5,3:44.9,4:01.95
6,BAHTA Meraf,SWE,stockholm dl,2018,4:02.31,15.9,31.6,47.1,1:03.7,1:20.2,1:36.4,1:52.6,2:09.2,2:25.5,2:42.0,2:58.4,3:14.3,3:30.1,3:46.2,4:02.31
7,SADO Besu,ETH,stockholm dl,2018,4:02.81,16,31.9,46.9,1:03.1,1:19.1,1:35.5,1:51.6,2:08.2,2:24.9,2:41.2,2:57.3,3:13.8,3:30.4,3:46.6,4:02.81
8,HALL Linden,AUS,stockholm dl,2018,4:02.89,15.7,31.7,47.4,1:03.6,1:20.4,1:37.0,1:53.2,2:09.9,2:26.6,2:43.2,2:59.7,3:15.9,3:31.9,3:47.6,4:02.89
9,WEIGHTMAN Laura,GBR,stockholm dl,2018,4:02.90,16.1,32.1,47.6,1:03.8,1:20.4,1:37.1,1:53.2,2:09.7,2:26.3,2:42.8,2:59.0,3:15.0,3:31.5,3:47.3,4:02.90
10,GRÃ˜VDAL Karoline Bjerkeli,NOR,stockholm dl,2018,4:05.57,16.2,32.2,47.7,1:04.0,1:20.6,1:37.2,1:53.5,2:10.1,2:26.9,2:43.4,2:59.9,3:16.3,3:33.1,3:49.4,4:05.57
1,HOULIHAN Shelby,USA,lausanne dl,2018,3:57.34,15.4,31.2,47,1:03.1,1:19.2,1:35.3,1:51.4,2:07.7,2:23.8,2:39.7,2:55.9,3:12.0,3:27.7,3:43.0,3:57.34
2,MUIR Laura,GBR,lausanne dl,2018,3:58.18,15.2,30.8,46.3,1:02.7,1:19.0,1:35.2,1:51.3,2:07.6,2:23.4,2:39.4,2:55.5,3:11.6,3:27.3,3:42.6,3:58.18
3,HASSAN Sifan,NED,lausanne dl,2018,3:58.39,16.4,32.4,47.9,1:04.1,1:20.1,1:35.9,1:51.8,2:08.0,2:23.9,2:39.9,2:55.7,3:11.7,3:27.5,3:42.9,3:58.39
4,TSEGAY Gudaf,ETH,lausanne dl,2018,3:59.07,14.9,30.1,45.7,1:02.1,1:18.1,1:34.4,1:50.3,2:06.4,2:22.5,2:38.6,2:54.5,3:10.7,3:27.1,3:43.2,3:59.07
5,ARAFI Rababe,MAR,lausanne dl,2018,3:59.15,15.5,31.4,47.2,1:03.2,1:19.4,1:35.5,1:51.6,2:07.8,2:24.0,2:40.1,2:56.1,3:12.1,3:27.9,3:43.6,3:59.15
6,SEMENYA Caster,RSA,lausanne dl,2018,4:00.44,15,30.4,45.9,1:02.2,1:18.3,1:34.7,1:50.6,2:06.9,2:23.0,2:39.4,2:55.4,3:11.5,3:27.8,3:44.0,4:00.44
7,WEIGHTMAN Laura,GBR,lausanne dl,2018,4:01.76,15.6,31.7,47.7,1:03.9,1:20.3,1:36.9,1:53.4,2:10.1,2:26.4,2:42.9,2:59.1,3:14.8,3:30.4,3:45.9,4:01.76
8,McCOLGAN Eilish,GBR,lausanne dl,2018,4:01.98,16.1,32.2,48.2,1:04.6,1:20.8,1:37.3,1:53.6,2:10.4,2:26.6,2:43.1,2:58.9,3:14.6,3:30.4,3:46.1,4:01.98
9,CHEBET Winny,KEN,lausanne dl,2018,4:06.10,15.3,31.3,47.5,1:03.6,1:19.7,1:36.0,1:52.5,2:09.3,2:26.3,2:43.4,2:59.9,3:17.0,3:33.9,3:50.5,4:06.10
10,COURTNEY Melissa,GBR,lausanne dl,2018,4:06.27,15.9,32,48.2,1:04.4,1:20.7,1:37.2,1:53.7,2:10.6,2:27.2,2:44.1,3:00.6,3:17.1,3:33.9,3:50.3,4:06.27
11,BAHTA Meraf,SWE,lausanne dl,2018,4:06.96,15.7,31,46.8,1:03.4,1:20.0,1:36.7,1:53.3,2:10.2,2:26.9,2:43.8,2:59.9,3:16.6,3:33.7,3:50.4,4:06.96
1,HASSAN Sifan,NED,birmingham dl,2018,4:00.60,16.2,32.6,48.9,1:05.6,1:21.3,1:37.1,1:52.9,2:09.0,2:26.0,2:42.8,2:58.9,3:15.0,3:31.3,3:46.5,4:00.60
2,TSEGAY Gudaf,ETH,birmingham dl,2018,4:01.03,15.4,31.2,47.4,1:03.5,1:19.9,1:36.0,1:52.4,2:08.7,2:25.8,2:42.6,2:58.7,3:14.9,3:31.3,3:46.7,4:01.03
3,ENNAOUI Sofia,POL,birmingham dl,2018,4:02.06,16.2,32.9,48.4,1:05.3,1:21.5,1:38.0,1:54.3,2:10.8,2:26.7,2:43.6,2:59.7,3:15.5,3:31.7,3:47.1,4:02.06
4,EMBAYE Axumawit,ETH,birmingham dl,2018,4:02.44,16,32.1,48.1,1:04.7,1:20.9,1:37.5,1:53.8,2:10.2,2:26.5,2:43.2,2:59.1,3:15.2,3:31.5,3:46.9,4:02.44
5,McDONALD Sarah,GBR,birmingham dl,2018,4:03.17,15.8,32.2,48.5,1:05.2,1:21.4,1:37.9,1:54.2,2:10.7,2:27.3,2:44.2,3:00.6,3:16.7,3:32.6,3:48.0,4:03.17
6,CHEBET Winny,KEN,birmingham dl,2018,4:03.64,15.7,31.9,48,1:04.4,1:20.6,1:37.0,1:53.3,2:09.8,2:26.9,2:43.9,3:00.0,3:16.3,3:32.2,3:48.0,4:03.64
7,PEN FREITAS Marta,POR,birmingham dl,2018,4:03.99,16,32.5,48.6,1:05.4,1:21.7,1:38.2,1:54.4,2:10.9,2:27.0,2:43.7,3:00.2,3:15.7,3:32.1,3:48.1,4:03.99
8,GRACE Kate,USA,birmingham dl,2018,4:04.64,15.6,31.9,48.2,1:04.9,1:21.1,1:37.7,1:53.9,2:10.5,2:27.1,2:44.2,3:00.4,3:17.0,3:33.2,3:48.9,4:04.64
9,MAGEEAN Ciara,IRL,birmingham dl,2018,4:06.13,15.8,32.3,48.4,1:05.0,1:21.2,1:37.7,1:54.0,2:10.5,2:27.1,2:44.0,3:00.4,3:16.5,3:32.8,3:49.0,4:06.13
10,SAMUEL Alemaz,ETH,birmingham dl,2018,4:07.47,15.5,31.4,47.5,1:03.7,1:20.1,1:36.3,1:52.6,2:09.1,2:26.3,2:43.2,2:59.6,3:16.2,3:32.8,3:50.5,4:07.47
1,ROWBURY Shannon,USA,zurich dl,2016,3:57.78,15.5,30.4,46.4,1:03.0,1:19.6,1:36.0,1:52.3,2:08.6,2:24.6,2:40.6,2:56.2,3:11.7,3:27.0,3:42.5,3:57.78
2,MUIR Laura,GBR,zurich dl,2016,3:57.85,15.3,30.2,46.2,1:02.9,1:19.5,1:35.8,1:52.1,2:08.4,2:24.5,2:40.4,2:56.0,3:11.5,3:26.8,3:42.3,3:57.85
3,HASSAN Sifan,NED,zurich dl,2016,3:58.43,16.5,31.9,46.9,1:03.3,1:20.0,1:36.3,1:52.6,2:08.9,2:25.1,2:41.2,2:57.0,3:12.5,3:27.8,3:43.1,3:58.43
4,SIMPSON Jenny,USA,zurich dl,2016,3:58.54,15.6,30.9,47.1,1:03.6,1:20.2,1:36.6,1:52.8,2:09.2,2:24.8,2:40.7,2:56.5,3:11.9,3:27.2,3:42.5,3:58.54
5,SEYAUM Dawit,ETH,zurich dl,2016,3:58.63,16.3,31.8,47.1,1:03.4,1:20.1,1:36.4,1:52.9,2:09.4,2:25.2,2:41.5,2:57.2,3:12.5,3:27.6,3:42.8,3:58.63
6,SADO Besu,ETH,zurich dl,2016,3:59.47,16,31.5,47.2,1:03.6,1:20.3,1:36.4,1:52.7,2:09.0,2:24.8,2:40.9,2:56.7,3:12.1,3:27.4,3:43.1,3:59.47
7,KIPYEGON Faith,KEN,zurich dl,2016,4:01.86,15.4,30.4,46.3,1:03.0,1:19.6,1:35.9,1:52.3,2:08.6,2:24.6,2:40.3,2:55.8,3:11.3,3:26.7,3:42.3,4:01.86
8,BAHTA Meraf,SWE,zurich dl,2016,4:03.06,16.2,31.6,47.4,1:04.1,1:20.7,1:37.1,1:53.5,2:10.0,2:26.0,2:42.4,2:58.1,3:13.8,3:29.4,3:45.8,4:03.06
9,TSEGAY Gudaf,ETH,zurich dl,2016,4:04.29,15.4,30.3,46.5,1:03.2,1:19.8,1:36.1,1:52.5,2:08.8,2:24.9,2:41.4,2:57.3,3:13.0,3:29.4,3:46.6,4:04.29
1,CICHOCKA Angelika,POL,rabat dl,2017,4:01.93,16,nan,47.9,nan,1:21.0,nan,1:54.1,nan,2:28.4,nan,3:01.4,nan,3:32.8,nan,4:01.93
2,ARAFI Rababe,MAR,rabat dl,2017,4:02.19,15.6,nan,47.2,nan,1:20.4,nan,1:53.8,nan,2:28.0,nan,3:01.1,nan,3:32.2,nan,4:02.19
3,MARTINEZ Brenda,USA,rabat dl,2017,4:02.75,16.1,nan,47.6,nan,1:20.7,nan,1:53.9,nan,2:28.2,nan,3:01.4,nan,3:32.6,nan,4:02.75
4,WEIGHTMAN Laura,GBR,rabat dl,2017,4:03.07,16,nan,47.5,nan,1:20.9,nan,1:54.0,nan,2:28.0,nan,3:01.0,nan,3:32.7,nan,4:03.07
5,AKKAOUI Malika,MAR,rabat dl,2017,4:03.36,16.2,nan,48,nan,1:21.2,nan,1:54.3,nan,2:28.5,nan,3:01.7,nan,3:33.0,nan,4:03.36
6,ROWBURY Shannon,USA,rabat dl,2017,4:04.73,15.9,nan,47.4,nan,1:20.6,nan,1:53.9,nan,2:28.2,nan,3:01.2,nan,3:33.2,nan,4:04.73
7,JEPKOSGEI Nelly,KEN,rabat dl,2017,4:04.93,16.2,nan,47.8,nan,1:20.9,nan,1:54.2,nan,2:28.1,nan,3:01.2,nan,3:33.0,nan,4:04.93
8,BUCKMAN Zoe,AUS,rabat dl,2017,4:04.93,16.5,nan,48.3,nan,1:21.4,nan,1:54.6,nan,2:28.6,nan,3:01.8,nan,3:33.6,nan,4:04.93
9,KIYENG Judith,KEN,rabat dl,2017,4:05.20,15.8,nan,47.7,nan,1:20.9,nan,1:54.1,nan,2:28.3,nan,3:01.3,nan,3:33.3,nan,4:05.20
1,HASSAN Sifan,NED,rome dl,2017,3:56.22,nan,nan,47.3,nan,nan,nan,1:51.8,nan,nan,nan,2:55.5,nan,nan,nan,3:56.22
2,CHEBET Winny,KEN,rome dl,2017,3:59.16,nan,nan,48.3,nan,nan,nan,1:52.9,nan,nan,nan,2:57.4,nan,nan,nan,3:59.16
3,KLOSTERHALFEN Konstanze,GER,rome dl,2017,3:59.30,nan,nan,47.6,nan,nan,nan,1:51.9,nan,nan,nan,2:55.6,nan,nan,nan,3:59.30
4,BAHTA Meraf,SWE,rome dl,2017,4:00.59,nan,nan,48,nan,nan,nan,1:52.6,nan,nan,nan,2:57.0,nan,nan,nan,4:00.59
5,TSEGAY Gudaf,ETH,rome dl,2017,4:01.42,nan,nan,47.5,nan,nan,nan,1:52.0,nan,nan,nan,2:56.1,nan,nan,nan,4:01.42
6,CICHOCKA Angelika,POL,rome dl,2017,4:01.84,nan,nan,48.4,nan,nan,nan,1:53.6,nan,nan,nan,2:58.3,nan,nan,nan,4:01.84
7,SADO Besu,ETH,rome dl,2017,4:03.16,nan,nan,47.8,nan,nan,nan,1:52.3,nan,nan,nan,2:55.8,nan,nan,nan,4:03.16
8,KOSTER Maureen,NED,rome dl,2017,4:03.77,nan,nan,48.2,nan,nan,nan,1:53.1,nan,nan,nan,2:57.9,nan,nan,nan,4:03.77
9,ARAFI Rababe,MAR,rome dl,2017,4:04.25,nan,nan,48.3,nan,nan,nan,1:52.5,nan,nan,nan,2:57.7,nan,nan,nan,4:04.25
10,MAGEEAN Ciara,IRL,rome dl,2017,4:04.49,nan,nan,48.5,nan,nan,nan,1:53.3,nan,nan,nan,2:58.1,nan,nan,nan,4:04.49
11,STAFFORD Gabriela,CAN,rome dl,2017,4:04.87,nan,nan,48.6,nan,nan,nan,1:53.9,nan,nan,nan,2:58.8,nan,nan,nan,4:04.87
12,JEPKOSGEI Nelly,KEN,rome dl,2017,4:04.99,nan,nan,47.8,nan,nan,nan,1:52.1,nan,nan,nan,2:57.2,nan,nan,nan,4:04.99
13,ENNAOUI Sofia,POL,rome dl,2017,4:05.40,nan,nan,48,nan,nan,nan,1:52.8,nan,nan,nan,2:57.9,nan,nan,nan,4:05.40
1,CICHOCKA Angelika,POL,stockholm dl,2016,4:03.25,nan,nan,47.8,nan,nan,nan,1:54.1,nan,nan,nan,3:01.4,nan,nan,nan,4:03.25
2,BAHTA Meraf,SWE,stockholm dl,2016,4:04.37,nan,nan,47.9,nan,nan,nan,1:54.1,nan,nan,nan,3:01.7,nan,nan,nan,4:04.37
3,TSEGAY Gudaf,ETH,stockholm dl,2016,4:04.37,nan,nan,47.4,nan,nan,nan,1:53.8,nan,nan,nan,3:01.2,nan,nan,nan,4:04.37
4,SADO Besu,ETH,stockholm dl,2016,4:04.89,nan,nan,47.5,nan,nan,nan,1:53.7,nan,nan,nan,3:00.9,nan,nan,nan,4:04.89
5,MUIR Laura,GBR,stockholm dl,2016,4:05.40,nan,nan,47.7,nan,nan,nan,1:53.8,nan,nan,nan,3:00.8,nan,nan,nan,4:05.40
6,OBIRI Hellen,KEN,stockholm dl,2016,4:05.88,nan,nan,47.6,nan,nan,nan,1:54.0,nan,nan,nan,3:01.6,nan,nan,nan,4:05.88
7,WEIGHTMAN Laura,GBR,stockholm dl,2016,4:05.94,nan,nan,47.5,nan,nan,nan,1:53.9,nan,nan,nan,3:01.1,nan,nan,nan,4:05.94
8,SEYAUM Dawit,ETH,stockholm dl,2016,4:06.07,nan,nan,47.2,nan,nan,nan,1:53.7,nan,nan,nan,3:02.0,nan,nan,nan,4:06.07
9,KRAUSE Gesa Felicitas,GER,stockholm dl,2016,4:06.99,nan,nan,48,nan,nan,nan,1:54.2,nan,nan,nan,3:01.8,nan,nan,nan,4:06.99
1,Faith KIPYEGON,KEN,prefontaine dl,2017,3:59.67,nan,nan,48.71,nan,nan,nan,1:56.60 ,nan,nan,nan,3:00.13 ,nan,nan,nan,3:59.67
2,Hellen OBIRI,KEN,prefontaine dl,2017,4:00.46,nan,nan,48.92,nan,nan,nan,1:56.99 ,nan,nan,nan,3:00.47 ,nan,nan,nan,4:00.46
3,Laura MUIR,GBR,prefontaine dl,2017,4:00.47,nan,nan,48.64,nan,nan,nan,1:56.82 ,nan,nan,nan,3:00.28 ,nan,nan,nan,4:00.47
4,Rababe ARAFI,MOR,prefontaine dl,2017,4:01.75,nan,nan,48.88,nan,nan,nan,1:57.07 ,nan,nan,nan,3:00.66 ,nan,nan,nan,4:01.75
5,Gudaf TSEGAY,ETH,prefontaine dl,2017,4:01.78,nan,nan,48.8,nan,nan,nan,1:56.97 ,nan,nan,nan,3:00.32 ,nan,nan,nan,4:01.78
6,Brenda MARTINEZ,USA,prefontaine dl,2017,4:03.56,nan,nan,48.75,nan,nan,nan,1:57.10 ,nan,nan,nan,3:01.02 ,nan,nan,nan,4:03.56
7,Kate GRACE,USA,prefontaine dl,2017,4:03.59,nan,nan,48.6,nan,nan,nan,1:56.59 ,nan,nan,nan,3:00.16 ,nan,nan,nan,4:03.59
8,Jenny SIMPSON,USA,prefontaine dl,2017,4:04.16,nan,nan,49.13,nan,nan,nan,1:56.80 ,nan,nan,nan,3:00.80 ,nan,nan,nan,4:04.16
9,Shannon ROWBURY,USA,prefontaine dl,2017,4:04.61,nan,nan,49.02,nan,nan,nan,1:57.27 ,nan,nan,nan,3:01.19 ,nan,nan,nan,4:04.61
10,Sofia ENNAOUI,POL,prefontaine dl,2017,4:05.74,nan,nan,49.4,nan,nan,nan,1:57.31 ,nan,nan,nan,3:01.98 ,nan,nan,nan,4:05.74
11,Shelby HOULIHAN,USA,prefontaine dl,2017,4:06.43,nan,nan,49.71,nan,nan,nan,1:57.77 ,nan,nan,nan,3:02.42 ,nan,nan,nan,4:06.43
1,Shelby HOULIHAN,USA,prefontaine dl,2018,03:59.06,nan,nan,48.30 ,nan,nan,nan,1:54.33 ,nan,nan,nan,2:59.20 ,nan,nan,nan,03:59.06
2,Laura MUIR,GBR,prefontaine dl,2018,03:59.30,nan,nan,48.08 ,nan,nan,nan,1:53.46 ,nan,nan,nan,2:58.68 ,nan,nan,nan,03:59.30
3,Jenny SIMPSON,USA,prefontaine dl,2018,03:59.37,nan,nan,47.11 ,nan,nan,nan,1:52.33 ,nan,nan,nan,2:58.05 ,nan,nan,nan,03:59.37
4,Rababe ARAFI,MOR,prefontaine dl,2018,03:59.51,nan,nan,47.40 ,nan,nan,nan,1:52.70 ,nan,nan,nan,2:58.25 ,nan,nan,nan,03:59.51
5,Winny CHEBET,KEN,prefontaine dl,2018,04:00.60,nan,nan,47.64 ,nan,nan,nan,1:53.36 ,nan,nan,nan,2:58.95 ,nan,nan,nan,04:00.60
6,Linden HALL,AUS,prefontaine dl,2018,04:00.86,nan,nan,47.88 ,nan,nan,nan,1:53.21 ,nan,nan,nan,2:58.65 ,nan,nan,nan,04:00.86
7,Brenda MARTINEZ,USA,prefontaine dl,2018,04:02.65,nan,nan,47.69 ,nan,nan,nan,1:52.52 ,nan,nan,nan,2:58.44 ,nan,nan,nan,04:02.65
8,Dawit SEYAUM,ETH,prefontaine dl,2018,04:02.81,nan,nan,48.53 ,nan,nan,nan,1:53.77 ,nan,nan,nan,2:59.31 ,nan,nan,nan,04:02.81
9,Beatrice CHEPKOECH,KEN,prefontaine dl,2018,04:05.36,nan,nan,47.21 ,nan,nan,nan,1:52.99 ,nan,nan,nan,2:58.43 ,nan,nan,nan,04:05.36
